label,label_id,train_count,validation_count,test_count,total_count
Governing Laws,0,3136,492,568,4196
Notices,1,2445,381,410,3236
Counterparts,2,2376,413,458,3247
Entire Agreements,3,2318,383,369,3070
Severability,4,1774,323,386,2483
Amendments,5,1460,255,219,1934
Survival,6,1442,242,212,1896
Assignments,7,1308,201,191,1700
Expenses,8,1211,168,181,1560
Terms,9,1142,161,172,1475
Terminations,10,1103,191,113,1407
Insurances,11,1087,196,126,1409
Taxes,12,1072,210,179,1461
Litigations,13,1022,162,128,1312
Further Assurances,14,1001,153,152,1306
Confidentiality,15,993,147,161,1301
General,16,955,143,195,1293
Compliance With Laws,17,953,161,205,1319
Indemnifications,18,923,138,148,1209
Waivers,19,866,150,159,1175
